Customer_ID,Sales_Rep,Deal_Value,Stage,Close_Date,Lead_Source,Lead_Quality,Lead_Creation_Date,Deal_Probability,Deal_Notes
39256,Rep_B,24219,Closed Lost,2024-12-13 03:21:31.677180,Direct Mail,Medium,2024-11-11 03:21:31.678097,0.87,Potential high-value deal
28289,Rep_D,28759,Closed Lost,2024-03-18 03:21:31.677030,Direct Mail,Medium,2024-12-30 03:21:31.678115,0.99,Needs more nurturing
23434,Rep_D,27941,Proposal,2025-01-27 03:21:31.677188,Direct Mail,Medium,2025-01-17 03:21:31.678121,0.56,Needs more nurturing
98696,Rep_D,31606,Qualification,2024-10-06 03:21:31.677198,Referral,Low,2024-11-02 03:21:31.678126,0.22,Needs more nurturing
81482,Rep_B,48780,Proposal,2024-09-21 03:21:31.677193,Email Campaign,Low,2024-12-23 03:21:31.678131,0.57,Needs more nurturing
21395,Rep_C,4550,Negotiation,2024-10-06 03:21:31.677198,Direct Mail,Low,2024-11-04 03:21:31.678136,0.39,Needs more nurturing
87397,Rep_B,45129,Qualification,2024-12-13 03:21:31.677180,Referral,Low,2024-11-15 03:21:31.678141,0.68,Potential high-value deal
65302,Rep_B,43824,Closed Lost,2024-12-13 03:21:31.677180,Web,Low,2025-01-15 03:21:31.678145,0.56,Needs more nurturing
14165,Rep_C,43348,Closed Lost,2024-12-13 03:21:31.677180,Social Media,High,2024-11-19 03:21:31.678150,0.55,Potential high-value deal
13905,Rep_D,7449,Proposal,2024-12-13 03:21:31.677180,Email Campaign,Medium,2025-01-25 03:21:31.678154,0.86,Potential high-value deal
22280,Rep_D,4972,Negotiation,2024-09-21 03:21:31.677193,Email Campaign,High,2024-12-17 03:21:31.678159,0.99,Potential high-value deal
38657,Rep_C,27386,Proposal,2024-03-18 03:21:31.677030,Social Media,Medium,2024-11-23 03:21:31.678163,0.34,Potential high-value deal
40495,Rep_B,48724,Prospecting,2024-12-13 03:21:31.677180,Web,Medium,2024-12-07 03:21:31.678167,0.5,Potential high-value deal
76237,Rep_B,23236,Prospecting,2025-01-27 03:21:31.677188,Referral,Medium,2024-11-07 03:21:31.678171,0.38,Potential high-value deal
88907,Rep_D,8161,Negotiation,2024-09-21 03:21:31.677193,Social Media,High,2024-12-14 03:21:31.678175,0.34,Needs more nurturing
13478,Rep_A,17295,Closed Won,2024-12-13 03:21:31.677180,Referral,Medium,2025-01-22 03:21:31.678180,0.79,Potential high-value deal
83563,Rep_A,13556,Closed Won,2025-01-27 03:21:31.677188,Referral,Medium,2024-11-27 03:21:31.678184,0.43,Needs more nurturing
36062,Rep_A,13465,Prospecting,2024-12-13 03:21:31.677180,Referral,Low,2024-11-09 03:21:31.678188,0.9,Needs more nurturing
95181,Rep_B,36146,Prospecting,2024-03-18 03:21:31.677030,Web,Low,2024-12-18 03:21:31.678192,0.53,Needs more nurturing
81426,Rep_B,30400,Closed Won,2024-09-21 03:21:31.677193,Web,Medium,2025-01-29 03:21:31.678196,0.56,Needs more nurturing
64987,Rep_D,10186,Qualification,2024-03-18 03:21:31.677030,Referral,Low,2024-12-08 03:21:31.678200,0.66,Needs more nurturing
38893,Rep_A,28648,Closed Won,2024-09-21 03:21:31.677193,Direct Mail,High,2024-11-29 03:21:31.678204,0.84,Potential high-value deal
68878,Rep_D,13025,Proposal,2024-12-13 03:21:31.677180,Email Campaign,Medium,2025-01-17 03:21:31.678208,0.23,Needs more nurturing
87236,Rep_D,19254,Qualification,2024-12-13 03:21:31.677180,Web,High,2024-12-06 03:21:31.678213,0.54,Potential high-value deal
46463,Rep_D,31318,Proposal,2024-09-21 03:21:31.677193,Direct Mail,Low,2024-12-15 03:21:31.678216,0.82,Potential high-value deal
10851,Rep_C,17371,Prospecting,2025-01-27 03:21:31.677188,Direct Mail,Low,2024-11-10 03:21:31.678220,0.64,Needs more nurturing
30926,Rep_A,5940,Qualification,2025-01-27 03:21:31.677188,Email Campaign,High,2024-12-03 03:21:31.678225,0.79,Needs more nurturing
65392,Rep_A,30041,Proposal,2024-12-13 03:21:31.677180,Referral,Medium,2024-11-01 03:21:31.678229,0.66,Needs more nurturing
54597,Rep_C,37066,Proposal,2024-12-13 03:21:31.677180,Direct Mail,Low,2025-01-11 03:21:31.678233,0.88,Potential high-value deal
46421,Rep_C,7416,Qualification,2024-03-18 03:21:31.677030,Direct Mail,Low,2024-12-06 03:21:31.678238,0.62,Needs more nurturing
30379,Rep_A,4315,Negotiation,2024-12-13 03:21:31.677180,Direct Mail,Low,2025-01-08 03:21:31.678241,0.91,Needs more nurturing
38221,Rep_C,43738,Closed Won,2024-09-21 03:21:31.677193,Referral,High,2024-11-25 03:21:31.678245,0.82,Potential high-value deal
54118,Rep_D,36427,Closed Lost,2025-01-27 03:21:31.677188,Referral,High,2024-11-08 03:21:31.678249,0.48,Potential high-value deal
23396,Rep_B,1967,Proposal,2025-01-27 03:21:31.677188,Web,Low,2024-12-27 03:21:31.678253,0.55,Needs more nurturing
22156,Rep_D,7112,Closed Won,2024-03-18 03:21:31.677030,Web,Medium,2024-11-13 03:21:31.678257,0.75,Potential high-value deal
59797,Rep_A,16491,Closed Lost,2025-01-27 03:21:31.677188,Direct Mail,High,2024-11-23 03:21:31.678261,0.45,Needs more nurturing
22676,Rep_C,11899,Closed Won,2025-01-27 03:21:31.677188,Referral,Medium,2024-11-30 03:21:31.678266,0.85,Needs more nurturing
